source,title,company,location,stipend,duration,mode,internship_type,branch_required,cgpa_required,gender,eligibility_raw,skills,deadline,applicants,apply_link
Internshala,Node.js Development - Internship,Aarixa Innovix Private Limited,Work from Home,"₹ 5,000 - 12,000 /month",6 Months,Work From Home,Part Time,Not mentioned,Not mentioned,Girls Only,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 15th Apr'26 and 20th May'26 3. are available for duration of 6 months 4. have relevant skills and interests * Women wanting to start/restart their career can also apply.,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted just nowInternship, Skill(s) required, Amazon S3, Express.js",N/A,N/A,https://internshala.com/internship/detail/nodejs-development-internship-in-gurgaon-at-aarixa-innovix-private-limited1776246179
Internshala,Emversity Ambassador - Internship,Emversity,Work from Home,"₹ 14,000 - 15,000 /month",5 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 14th Apr'26 and 19th May'26 3. are available for duration of 5 months 4. are from Bangalore only 5. have relevant skills and interests,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted few hours agoInternship, Skill(s) required, Effective Communication, Sales Support",N/A,N/A,https://internshala.com/internship/detail/emversity-ambassador-internship-in-bangalore-at-emversity1776229047
Internshala,Finance - Internship,ClearTax,Work from Home,"₹ 30,000 - 30,001 /month",3 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 15th Apr'26 and 20th May'26 3. are available for duration of 3 months 4. have relevant skills and interests,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted just nowInternship, Skill(s) required, Auditing, Data Preparation",N/A,N/A,https://internshala.com/internship/detail/finance-internship-in-bangalore-at-cleartax1776245087
Internshala,Video Editing & Graphic Designing - Internship,Cocoma Digital Private Limited,Work from Home,"₹ 8,000 - 10,000 /month",6 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 14th Apr'26 and 19th May'26 3. are available for duration of 6 months 4. are from Mumbai only 5. have relevant skills and interests,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted few hours agoInternship, Skill(s) required, Adobe After Effects, Adobe Creative Suite",N/A,N/A,https://internshala.com/internship/detail/video-editing-graphic-designing-internship-in-mumbai-at-cocoma-digital-private-limited1776228005
Internshala,Human Resources (HR) - Internship,RSHCE Renu Sharma Health Care And Education Foundation,Work from Home,Unpaid,4 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/internship between 15th Apr'26 and 20th May'26 3. are available for duration of 4 months 4. have relevant skills and interests,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, NGO, Posted just nowInternship, Skill(s) required, English Proficiency (Spoken)",N/A,N/A,https://internshala.com/internship/detail/work-from-home-human-resources-hr-internship-at-rshce-renu-sharma-health-care-and-education-foundation1776245319
Internshala,Human Resources (HR) - Internship,Blues N Coppers,Work from Home,"₹ 10,000 /month",2 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 15th Apr'26 and 20th May'26 3. are available for duration of 2 months 4. are from Mumbai only 5. have relevant skills and interests,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted few hours agoInternship, Skill(s) required, English Proficiency (Spoken), English Proficiency (Written)",N/A,N/A,https://internshala.com/internship/detail/human-resources-hr-internship-in-mumbai-at-blues-n-coppers1776231511
Internshala,HR Compliance Manager - Internship,RSHCE Renu Sharma Health Care And Education Foundation,Work from Home,Unpaid,4 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/internship between 15th Apr'26 and 20th May'26 3. are available for duration of 4 months 4. have relevant skills and interests,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, NGO, Posted just nowInternship, Skill(s) required, Effective Communication",N/A,N/A,https://internshala.com/internship/detail/work-from-home-hr-compliance-manager-internship-at-rshce-renu-sharma-health-care-and-education-foundation1776245145
Internshala,Video Editing/Making - Internship,Rarelabs Private Limited,Work from Home,"₹ 8,500 - 11,500 /month",2 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/internship between 15th Apr'26 and 20th May'26 3. are available for duration of 2 months 4. have relevant skills and interests,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted just nowInternshipPart time, Skill(s) required, AI Video Generation, Capcut",N/A,N/A,https://internshala.com/internship/detail/work-from-home-part-time-video-editing-making-internship-at-rarelabs-private-limited1776245277
Internshala,Digital Marketing - Internship,ContextQA,Work from Home,"₹ 3,000 - 7,000 /month",3 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/internship between 15th Apr'26 and 20th May'26 3. are available for duration of 3 months 4. have relevant skills and interests,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted just nowInternship, Skill(s) required, Content Marketing, Digital Marketing",N/A,N/A,https://internshala.com/internship/detail/work-from-home-digital-marketing-internship-at-contextqa1776245601
Internshala,Auditor - HR - Internship,RSHCE Renu Sharma Health Care And Education Foundation,Work from Home,Unpaid,1 Month,Work From Home,Part Time,Not mentioned,Not mentioned,All,Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/internship between 15th Apr'26 and 20th May'26 3. are available for duration of 1 month 4. have relevant skills and interests,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, NGO, Posted just nowInternship, Skill(s) required, Human Resources",N/A,N/A,https://internshala.com/internship/detail/work-from-home-auditor-hr-internship-at-rshce-renu-sharma-health-care-and-education-foundation1776245386
